id,customer_id,product_id,shipper_id,quantity,discount,order_date,order_time,rating_review
1001,100,11,45,2,20,2024-01-16,18:57:05,1
1002,15,409,2,0,25,2024-02-16,11:37:30,3
1003,15,233,44,1,3,2024-01-01,21:09:46,2
1004,6,146,48,2,3,2024-01-09,09:39:57,2
1005,43,240,8,1,2,2024-02-14,21:00:45,
1006,6,446,18,3,3,2024-02-08,09:02:53,1
1007,5,166,15,1,21,2024-02-25,04:55:53,1
1008,15,52,31,3,20,2024-01-04,07:45:59,2
1009,18,2,32,2,26,2024-01-27,07:14:16,2
1010,31,403,3,1,20,2024-02-04,06:48:48,3
1011,22,252,31,1,20,2024-02-23,05:26:26,4
1012,33,111,12,1,3,2024-01-29,04:51:58,4
1013,4,59,11,3,28,2024-02-03,14:01:38,5
1014,15,448,27,3,0,2024-01-28,21:57:44,3
1015,28,207,50,1,25,2024-01-04,00:49:18,4
1016,9,121,6,2,16,2024-01-24,22:09:52,1
1017,50,17,2,1,28,2024-02-28,18:44:57,5
1018,22,167,36,1,12,2024-01-23,05:08:35,3
1019,17,6,13,3,16,2024-01-09,16:42:58,2
1020,22,56,43,2,26,2024-01-05,15:42:20,3
1021,15,161,34,3,9,2024-02-03,12:13:42,2
1022,35,247,43,2,5,2024-01-22,07:30:38,5
1023,22,238,26,1,29,2024-01-06,18:41:02,5
1024,6,265,12,2,4,2024-02-05,02:10:26,1
1025,9,217,40,1,6,2024-01-16,03:57:38,4
1026,15,109,3,1,18,2024-01-13,08:12:25,1
1027,8,340,2,2,5,2024-01-08,17:03:08,1
1028,8,241,35,2,9,2024-02-08,02:27:04,5
1029,8,448,42,3,12,2024-01-31,08:45:32,5
1030,22,460,14,1,7,2024-01-18,02:30:42,
1031,9,482,5,3,1,2024-01-23,21:18:17,4
1032,8,411,31,2,3,2024-02-02,08:03:48,2
1033,13,368,3,3,20,2024-01-10,09:57:48,4
1034,18,423,43,1,25,2024-01-02,05:41:30,
1035,28,168,30,1,14,2024-01-31,16:42:42,2
1036,25,440,47,3,8,2024-01-11,18:34:45,5
1037,23,460,28,1,24,2024-01-28,03:25:30,2
1038,9,241,6,1,7,2024-01-30,03:22:30,3
1039,3,2,6,2,15,2024-01-31,23:15:39,3
1040,14,241,13,1,18,2024-02-12,16:29:48,4
1041,22,23,27,1,5,2024-02-05,01:47:32,4
1042,21,346,5,2,3,2024-02-20,11:44:56,
1043,15,285,14,1,16,2024-02-26,20:51:42,1
1044,24,322,30,1,16,2024-02-12,06:24:30,5
1045,38,295,39,1,5,2024-01-10,12:38:20,
1046,8,194,45,1,10,2024-01-25,21:51:40,2
1047,41,324,7,2,13,2024-02-06,13:58:40,2
1048,22,356,41,2,2,2024-01-13,15:46:45,2
1049,32,323,32,2,12,2024-02-20,12:44:56,4
1050,3,234,26,1,0,2024-02-13,18:17:27,
1051,37,91,47,1,4,2024-01-07,13:39:39,2
1052,39,190,4,1,0,2024-02-12,13:31:30,
1053,22,446,40,3,19,2024-01-03,09:01:54,5
1054,4,441,35,3,11,2024-02-16,21:36:49,
1055,48,426,17,2,17,2024-02-22,22:54:20,2
1056,30,31,48,3,8,2024-01-23,07:44:50,
1057,15,109,25,2,22,2024-01-23,01:43:21,5
1058,8,2,11,1,19,2024-01-31,03:14:50,4
1059,5,152,7,2,10,2024-02-14,08:51:56,1
1060,41,252,47,2,26,2024-02-13,10:36:18,3
1061,15,468,43,1,26,2024-01-27,20:42:51,
1062,15,12,31,2,0,2024-02-05,15:37:27,1
1063,13,333,35,1,14,2024-01-22,07:21:14,4
1064,25,132,10,2,0,2024-02-08,05:00:03,5
1065,8,406,47,1,4,2024-02-28,17:23:38,1
1066,40,402,34,3,4,2024-02-12,14:05:44,5
1067,9,108,29,3,23,2024-01-17,17:32:46,5
1068,17,105,32,2,16,2024-01-05,16:49:10,
1069,8,192,32,1,3,2024-01-06,15:39:08,5
1070,45,4,17,2,25,2024-02-08,15:43:01,4
1071,24,200,16,2,25,2024-01-03,17:31:14,4
1072,31,483,26,2,26,2024-02-25,01:23:13,1
1073,24,138,17,3,17,2024-02-06,22:28:14,5
1074,6,219,50,1,9,2024-01-24,04:30:04,1
1075,9,407,42,3,28,2024-02-13,09:28:42,
1076,11,61,9,1,22,2024-01-08,18:33:00,1
1077,15,403,46,1,2,2024-02-24,21:53:11,4
1078,28,453,28,1,9,2024-01-24,20:23:13,5
1079,5,376,4,3,3,2024-01-30,06:32:43,2
1080,27,44,35,2,24,2024-02-13,12:21:38,4
1081,9,383,10,1,4,2024-01-29,04:23:19,3
1082,27,476,39,1,29,2024-01-26,17:35:48,5
1083,44,360,17,3,19,2024-02-04,05:22:00,5
1084,33,361,48,3,28,2024-01-08,21:33:38,3
1085,16,33,2,2,16,2024-02-24,00:06:20,5
1086,9,158,37,2,29,2024-02-22,04:06:19,5
1087,16,464,12,2,8,2024-02-17,13:35:33,3
1088,10,324,22,3,13,2024-02-17,23:14:28,1
1089,22,120,15,2,29,2024-01-17,03:10:26,4
1090,38,114,49,1,7,2024-02-22,17:42:27,5
1091,18,225,47,1,21,2024-01-10,08:35:14,1
1092,44,128,45,3,10,2024-02-11,17:47:21,2
1093,33,52,28,2,14,2024-01-30,08:55:45,1
1094,15,371,30,2,4,2024-01-07,13:44:32,3
1095,7,482,4,1,5,2024-01-02,04:09:16,1
1096,28,93,26,3,13,2024-01-06,13:24:27,3
1097,24,459,17,1,27,2024-01-26,12:30:37,
1098,42,295,17,1,3,2024-02-23,12:14:17,4
1099,15,482,29,3,0,2024-02-20,12:43:58,
1100,49,284,13,1,19,2024-01-30,21:06:21,2
1101,27,124,25,3,1,2024-02-22,09:21:44,
1102,22,65,48,3,16,2024-01-17,21:02:49,1
1103,23,143,2,1,5,2024-02-07,14:01:38,1
1104,39,135,23,2,22,2024-02-17,20:29:38,2
1105,8,67,1,2,5,2024-01-12,22:06:07,1
1106,49,385,19,1,16,2024-01-28,21:05:12,2
1107,18,241,40,3,23,2024-01-24,03:24:38,3
1108,39,352,4,1,10,2024-01-12,22:42:36,3
1109,13,376,21,3,8,2024-02-08,18:31:26,2
1110,50,446,34,3,29,2024-02-21,18:01:39,2
1111,4,254,18,3,25,2024-01-06,08:21:54,4
1112,33,478,1,2,12,2024-02-12,07:36:58,
1113,18,484,30,3,30,2024-01-07,20:31:41,
1114,15,268,48,2,8,2024-02-12,23:31:31,2
1115,50,361,20,1,23,2024-01-04,06:07:05,2
1116,31,287,37,1,22,2024-02-10,08:30:14,3
1117,18,209,1,2,10,2024-01-31,07:54:32,4
1118,35,244,27,2,26,2024-01-11,19:19:52,5
1119,30,241,36,3,4,2024-01-10,18:22:35,5
1120,15,158,10,2,28,2024-02-14,13:33:20,2
1121,45,341,17,3,11,2024-01-16,01:48:00,5
1122,22,310,29,2,12,2024-02-23,16:43:41,
1123,22,373,10,1,29,2024-01-13,22:42:54,
1124,33,448,11,3,14,2024-01-21,16:32:28,
1125,27,276,7,2,18,2024-01-31,15:00:16,
1126,15,50,41,2,14,2024-02-13,07:48:26,4
1127,35,297,4,2,21,2024-02-17,17:20:45,4
1128,4,103,17,1,16,2024-02-24,11:16:16,5
1129,9,415,40,3,7,2024-01-22,14:29:04,2
1130,49,256,10,3,20,2024-01-24,13:36:04,4
1131,38,96,39,2,0,2024-01-27,11:38:03,3
1132,33,95,6,3,4,2024-01-17,19:56:26,3
1133,38,378,38,1,15,2024-02-13,14:03:31,4
1134,22,416,24,1,13,2024-02-14,22:56:56,4
1135,15,207,47,3,25,2024-01-25,11:26:09,2
1136,27,241,34,3,26,2024-01-07,08:51:22,4
1137,14,252,2,2,17,2024-01-22,02:54:33,
1138,40,97,18,2,11,2024-02-08,01:20:05,4
1139,45,178,23,2,30,2024-02-23,01:37:35,4
1140,38,348,35,1,21,2024-01-03,17:30:07,5
1141,16,457,10,2,7,2024-01-09,08:28:14,3
1142,5,73,13,2,23,2024-02-20,07:29:53,4
1143,21,103,29,3,11,2024-02-17,14:41:20,2
1144,8,146,1,3,18,2024-01-07,16:12:16,1
1145,50,498,14,1,23,2024-02-20,02:19:54,3
1146,8,4,42,1,9,2024-02-27,03:28:58,4
1147,33,101,16,3,25,2024-02-18,15:38:39,5
1148,21,96,36,1,7,2024-02-22,05:49:35,1
1149,35,109,46,1,22,2024-01-22,03:09:04,3
1150,18,166,3,3,15,2024-02-09,20:25:55,3
1151,18,374,23,1,22,2024-02-16,01:25:54,4
1152,28,476,4,1,12,2024-02-03,03:24:56,4
1153,18,69,39,2,18,2024-02-06,19:27:57,4
1154,35,476,17,2,11,2024-01-22,13:17:12,2
1155,22,63,25,1,17,2024-02-22,11:19:53,2
1156,22,153,44,1,11,2024-02-09,00:55:31,1
1157,22,402,21,1,11,2024-02-13,06:38:40,5
1158,8,476,11,2,18,2024-02-27,18:37:39,5
1159,5,265,14,1,12,2024-01-07,01:34:16,2
1160,24,389,31,2,26,2024-01-17,09:02:49,1
1161,26,271,42,1,0,2024-01-31,04:25:03,5
1162,38,69,37,2,27,2024-01-19,14:08:46,
1163,40,223,2,2,1,2024-02-27,08:30:01,4
1164,8,149,21,2,27,2024-02-14,13:19:34,
1165,45,225,24,2,8,2024-01-03,02:09:37,4
1166,42,443,39,3,13,2024-02-04,00:14:58,
1167,8,296,34,2,16,2024-01-12,22:33:09,2
1168,38,434,5,3,30,2024-02-13,06:04:34,4
1169,46,407,20,1,17,2024-02-16,20:16:58,1
1170,23,390,19,3,27,2024-01-23,09:03:40,
