seller_id,seller_name,seller_email,seller_address_street_number,seller_address_street_name,seller_address_street_suffix,seller_address_city,seller_address_state,seller_address_country,address_postcode
1,Skiles LLC,aewan0@arstechnica.com,048,Oakridge,Avenue,Cimaragas,,Indonesia,
2,Dicki Group,halford1@wikimedia.org,4,Florence,Pass,Osa,,Russia,618146
3,Schuppe Inc,srizzelli2@dailymotion.com,26,Old Shore,Avenue,Beirut,,Lebanon,
4,Skiles LLC,atriggle3@sakura.ne.jp,6,Upham,Road,Aldana,,Colombia,524547
5,"Orn, Osinski and Purdy",iallabarton4@godaddy.com,90,Bowman,Avenue,Pivovarikha,,Russia,664511
6,"Bergstrom, Lebsack and McCullough",cromanet5@vistaprint.com,08,Heffernan,Street,Tianqian,,China,
7,"Jacobi, Rosenbaum and Gutmann",slasselle6@alibaba.com,831,Summer Ridge,Place,Sŭngho 1-tong,,North Korea,
8,Gottlieb-Runte,etomadoni7@chron.com,923,Gerald,Alley,Chonogol,,Mongolia,
9,"Gutkowski, Runolfsson and Nader",mredhouse8@answers.com,55126,International,Point,Prakhon Chai,,Thailand,31140
10,Paucek LLC,sstangoe9@mtv.com,348,Shoshone,Center,Pointe-Noire,,Republic of the Congo,
11,Kovacek Inc,grabata@google.com.au,748,Buena Vista,Pass,El Paso,Texas,United States,79999
12,Howell and Sons,hdelgardillob@marketwatch.com,45109,Trailsway,Pass,Termas de Río Hondo,,Argentina,4221
13,"Wolff, Kautzer and Crooks",adelgatyc@surveymonkey.com,37771,Sloan,Alley,Al Jamālīyah,,Egypt,
14,Little Inc,mmcgonigald@shutterfly.com,89092,Veith,Drive,Paris 12,Île-de-France,France,75609 CEDEX 12
15,"Kshlerin, Sporer and Abshire",vhankse@newsvine.com,124,Gerald,Plaza,Xianghuaqiao,,China,
16,Bartell and Sons,adoeyf@merriam-webster.com,00434,Mandrake,Junction,Limonade,,Haiti,
17,"Greenholt, Rice and Legros",tdeglanvilleg@hud.gov,2,Sutherland,Street,Pandak,,Indonesia,
18,"Fisher, Weissnat and Kassulke",gbrobakh@mapquest.com,87168,Sundown,Avenue,Victoria,,Chile,
19,Mills-Stehr,sbernardinoi@google.cn,52,Miller,Point,Urpay,,Peru,
20,Ratke-Bayer,nmacvaughj@ibm.com,37500,Clemons,Way,Huaitu,,China,
21,Reinger and Sons,blechellek@wiley.com,31481,Annamark,Point,Huafeng,,China,
22,Waters Group,aakaml@seesaa.net,7849,School,Street,Rychvald,,Czech Republic,735 32
23,Bosco Group,cdumbrillm@twitter.com,7,Milwaukee,Trail,Huilelot,,Indonesia,
24,Abshire Group,pbeechingn@freewebs.com,95,Graedel,Junction,Santa Cruz,,Venezuela,
25,Brakus LLC,cdobyo@amazonaws.com,9360,Manitowish,Pass,Qīr Moāv,,Jordan,
26,"Gulgowski, Gerlach and Brown",hkamienskip@ted.com,67300,Ridge Oak,Center,Tanrake Village,,Tuvalu,
27,"Watsica, Koch and Beier",rhazeltineq@ycombinator.com,8262,Roxbury,Place,Xiaoxi,,China,
28,Russel-Trantow,dwindrossr@sfgate.com,8,Moose,Plaza,Stockholm,Stockholm,Sweden,118 55
29,"Stanton, Johnson and Bartell",rplaschkes@imgur.com,1503,Bunting,Drive,Cariaco,,Venezuela,
30,Haag and Sons,jmarrowt@github.io,8,Rusk,Plaza,Sandefjord,Vestfold,Norway,3230
31,Brown-Nikolaus,thinckleyu@ebay.com,84368,Marcy,Point,San Diego,California,United States,92153
32,"Collier, Moen and Lubowitz",rzylbermannv@imdb.com,95,Fordem,Plaza,Yanino Vtoroye,,Russia,188680
33,Hilll Group,mfaucettw@umn.edu,98372,Vernon,Road,Zhongshanmen,,China,
34,Murray-Dickinson,gfishburnx@mediafire.com,345,6th,Park,Lubukgadang,,Indonesia,
35,Zemlak Group,kseakingsy@angelfire.com,1770,Fieldstone,Point,Yanhong,,China,
36,Mitchell-Tromp,kmilletonz@tripod.com,06387,Havey,Point,Kangping,,China,
37,"Dare, Kris and Hayes",cemmison10@indiegogo.com,83649,Shasta,Park,Chiguang,,China,
38,"Ferry, Lowe and Kris",cinold11@tripadvisor.com,18,Melby,Park,Dehui,,China,
39,"Beatty, Lesch and Cronin",acongram12@canalblog.com,53949,Buell,Park,Arteche,,Philippines,6822
40,Cummings-Donnelly,adobing13@jiathis.com,6682,Donald,Plaza,Bweyogerere,,Uganda,
41,Krajcik-Hyatt,wcourvert14@netscape.com,77,Elgar,Circle,Diaoling,,China,
42,"Witting, Weber and Kassulke",dspracklin15@cpanel.net,217,Express,Junction,Kakamigahara,,Japan,509-0147
43,"Muller, Fay and O'Reilly",zwabersich16@about.me,3,Warrior,Crossing,Carrasqueira,Leiria,Portugal,2420-267
44,"Hermann, Weber and Halvorson",kmcturley17@china.com.cn,1,Homewood,Avenue,Bellavista,Guanajuato,Mexico,37360
45,Miller-Lesch,tmaccaughey18@unicef.org,7,American,Street,Cinco Saltos,,Argentina,8303
46,"Kunde, Nitzsche and Fritsch",tcornthwaite19@ed.gov,73741,Duke,Point,San Salvador,,El Salvador,
47,Schuppe-Berge,iconstantine1a@github.com,4270,La Follette,Circle,Atimonan,,Philippines,4331
48,Ledner-Walker,dstelfox1b@comsenz.com,95,Mallory,Street,Aroa,,Venezuela,
49,"Dicki, Skiles and Hane",bpostlewhite1c@sciencedirect.com,7,Moland,Crossing,Agadez,,Niger,
50,Grady Inc,dferencz1d@blogs.com,12323,Waubesa,Street,Studená,,Czech Republic,331 41
